# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:38:48 2020
# diag: timetrace, run(s): 0029, time window: 0-1500(1592 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
#  t          Re[phi]     Im[phi]   
  9.5243E+01  4.3071E-02 -4.0800E-03
  9.6186E+01  4.2786E-02 -4.1561E-03
  9.7129E+01  4.2546E-02 -4.2343E-03
  9.8072E+01  4.2341E-02 -4.3141E-03
  9.9015E+01  4.2176E-02 -4.3962E-03
  9.9958E+01  4.2057E-02 -4.4775E-03
  1.0090E+02  4.2003E-02 -4.5577E-03
  1.0184E+02  4.2031E-02 -4.6335E-03
  1.0279E+02  4.2143E-02 -4.7011E-03
  1.0373E+02  4.2352E-02 -4.7624E-03
  1.0467E+02  4.2659E-02 -4.8192E-03
  1.0562E+02  4.3057E-02 -4.8724E-03
  1.0656E+02  4.3540E-02 -4.9247E-03
  1.0750E+02  4.4088E-02 -4.9753E-03
  1.0845E+02  4.4696E-02 -5.0270E-03
  1.0939E+02  4.5348E-02 -5.0802E-03
  1.1033E+02  4.6026E-02 -5.1343E-03
  1.1127E+02  4.6704E-02 -5.1866E-03
  1.1222E+02  4.7350E-02 -5.2345E-03
  1.1316E+02  4.7947E-02 -5.2782E-03
  1.1410E+02  4.8471E-02 -5.3163E-03
  1.1505E+02  4.8913E-02 -5.3482E-03
  1.1599E+02  4.9284E-02 -5.3748E-03
  1.1693E+02  4.9582E-02 -5.3943E-03
  1.1788E+02  4.9822E-02 -5.4099E-03
  1.1882E+02  4.9998E-02 -5.4224E-03
  1.1976E+02  5.0103E-02 -5.4342E-03
  1.2070E+02  5.0134E-02 -5.4465E-03
  1.2165E+02  5.0087E-02 -5.4589E-03
  1.2259E+02  4.9962E-02 -5.4708E-03
  1.2353E+02  4.9766E-02 -5.4815E-03
  1.2448E+02  4.9509E-02 -5.4911E-03
  1.2542E+02  4.9202E-02 -5.5004E-03
  1.2636E+02  4.8851E-02 -5.5104E-03
  1.2731E+02  4.8460E-02 -5.5206E-03
  1.2825E+02  4.8032E-02 -5.5308E-03
  1.2919E+02  4.7571E-02 -5.5410E-03
  1.3013E+02  4.7084E-02 -5.5506E-03
  1.3108E+02  4.6581E-02 -5.5598E-03
  1.3202E+02  4.6068E-02 -5.5691E-03
  1.3296E+02  4.5548E-02 -5.5786E-03
  1.3391E+02  4.5027E-02 -5.5893E-03
  1.3485E+02  4.4509E-02 -5.6010E-03
  1.3579E+02  4.4001E-02 -5.6137E-03
  1.3674E+02  4.3508E-02 -5.6272E-03
  1.3768E+02  4.3030E-02 -5.6412E-03
  1.3862E+02  4.2558E-02 -5.6552E-03
  1.3956E+02  4.2089E-02 -5.6696E-03
  1.4051E+02  4.1627E-02 -5.6844E-03
  1.4145E+02  4.1183E-02 -5.7000E-03
  1.4239E+02  4.0773E-02 -5.7168E-03
  1.4334E+02  4.0406E-02 -5.7348E-03
  1.4428E+02  4.0083E-02 -5.7543E-03
  1.4522E+02  3.9799E-02 -5.7752E-03
  1.4617E+02  3.9549E-02 -5.7978E-03
  1.4711E+02  3.9340E-02 -5.8220E-03
  1.4805E+02  3.9179E-02 -5.8481E-03
  1.4899E+02  3.9067E-02 -5.8761E-03
  1.4994E+02  3.9000E-02 -5.9063E-03
  1.5088E+02  3.8970E-02 -5.9388E-03
  1.5182E+02  3.8970E-02 -5.9733E-03
  1.5277E+02  3.8994E-02 -6.0097E-03
  1.5371E+02  3.9042E-02 -6.0473E-03
  1.5465E+02  3.9116E-02 -6.0863E-03
  1.5560E+02  3.9220E-02 -6.1265E-03
  1.5654E+02  3.9351E-02 -6.1678E-03
  1.5748E+02  3.9506E-02 -6.2102E-03
  1.5842E+02  3.9677E-02 -6.2535E-03
  1.5937E+02  3.9858E-02 -6.2974E-03
  1.6031E+02  4.0044E-02 -6.3417E-03
  1.6125E+02  4.0241E-02 -6.3860E-03
  1.6220E+02  4.0458E-02 -6.4300E-03
  1.6314E+02  4.0699E-02 -6.4736E-03
  1.6408E+02  4.0961E-02 -6.5164E-03
  1.6503E+02  4.1233E-02 -6.5586E-03
  1.6597E+02  4.1501E-02 -6.5998E-03
  1.6691E+02  4.1766E-02 -6.6402E-03
  1.6785E+02  4.2031E-02 -6.6795E-03
  1.6880E+02  4.2300E-02 -6.7176E-03
  1.6974E+02  4.2572E-02 -6.7546E-03
  1.7068E+02  4.2840E-02 -6.7903E-03
  1.7163E+02  4.3092E-02 -6.8246E-03
  1.7257E+02  4.3321E-02 -6.8574E-03
  1.7351E+02  4.3531E-02 -6.8887E-03
  1.7446E+02  4.3727E-02 -6.9185E-03
  1.7540E+02  4.3911E-02 -6.9469E-03
  1.7634E+02  4.4075E-02 -6.9739E-03
  1.7728E+02  4.4219E-02 -6.9996E-03
  1.7823E+02  4.4342E-02 -7.0239E-03
  1.7917E+02  4.4448E-02 -7.0470E-03
  1.8011E+02  4.4544E-02 -7.0689E-03
  1.8106E+02  4.4633E-02 -7.0899E-03
  1.8200E+02  4.4716E-02 -7.1100E-03
  1.8294E+02  4.4786E-02 -7.1295E-03
  1.8389E+02  4.4844E-02 -7.1485E-03
  1.8483E+02  4.4888E-02 -7.1670E-03
  1.8577E+02  4.4923E-02 -7.1851E-03
  1.8671E+02  4.4957E-02 -7.2029E-03
  1.8766E+02  4.4989E-02 -7.2204E-03
  1.8860E+02  4.5016E-02 -7.2379E-03
  1.8954E+02  4.5033E-02 -7.2553E-03
  1.9049E+02  4.5034E-02 -7.2727E-03
  1.9143E+02  4.5014E-02 -7.2903E-03
  1.9237E+02  4.4979E-02 -7.3079E-03
  1.9332E+02  4.4939E-02 -7.3258E-03
  1.9426E+02  4.4900E-02 -7.3439E-03
  1.9520E+02  4.4859E-02 -7.3624E-03
  1.9614E+02  4.4812E-02 -7.3812E-03
  1.9709E+02  4.4753E-02 -7.4005E-03
  1.9803E+02  4.4679E-02 -7.4202E-03
  1.9897E+02  4.4598E-02 -7.4405E-03
  1.9992E+02  4.4519E-02 -7.4614E-03
  2.0086E+02  4.4445E-02 -7.4830E-03
  2.0180E+02  4.4372E-02 -7.5052E-03
  2.0275E+02  4.4296E-02 -7.5281E-03
  2.0369E+02  4.4213E-02 -7.5516E-03
  2.0463E+02  4.4129E-02 -7.5759E-03
  2.0557E+02  4.4048E-02 -7.6008E-03
  2.0652E+02  4.3974E-02 -7.6263E-03
  2.0746E+02  4.3903E-02 -7.6525E-03
  2.0840E+02  4.3834E-02 -7.6793E-03
  2.0935E+02  4.3768E-02 -7.7065E-03
  2.1029E+02  4.3707E-02 -7.7342E-03
  2.1123E+02  4.3653E-02 -7.7621E-03
  2.1218E+02  4.3607E-02 -7.7904E-03
  2.1312E+02  4.3565E-02 -7.8189E-03
  2.1406E+02  4.3520E-02 -7.8475E-03
  2.1500E+02  4.3470E-02 -7.8762E-03
  2.1595E+02  4.3417E-02 -7.9049E-03
  2.1689E+02  4.3359E-02 -7.9335E-03
  2.1783E+02  4.3298E-02 -7.9620E-03
  2.1878E+02  4.3233E-02 -7.9901E-03
  2.1972E+02  4.3161E-02 -8.0180E-03
  2.2066E+02  4.3079E-02 -8.0455E-03
  2.2161E+02  4.2985E-02 -8.0727E-03
  2.2255E+02  4.2877E-02 -8.0994E-03
  2.2349E+02  4.2761E-02 -8.1256E-03
  2.2443E+02  4.2640E-02 -8.1513E-03
  2.2538E+02  4.2516E-02 -8.1764E-03
  2.2632E+02  4.2390E-02 -8.2010E-03
  2.2726E+02  4.2258E-02 -8.2249E-03
  2.2821E+02  4.2118E-02 -8.2483E-03
  2.2915E+02  4.1969E-02 -8.2711E-03
  2.3009E+02  4.1814E-02 -8.2933E-03
  2.3104E+02  4.1662E-02 -8.3149E-03
  2.3198E+02  4.1514E-02 -8.3360E-03
  2.3292E+02  4.1365E-02 -8.3565E-03
  2.3386E+02  4.1215E-02 -8.3766E-03
  2.3481E+02  4.1062E-02 -8.3961E-03
  2.3575E+02  4.0908E-02 -8.4151E-03
  2.3669E+02  4.0758E-02 -8.4336E-03
  2.3764E+02  4.0617E-02 -8.4517E-03
  2.3858E+02  4.0482E-02 -8.4693E-03
  2.3952E+02  4.0351E-02 -8.4865E-03
  2.4047E+02  4.0225E-02 -8.5034E-03
  2.4141E+02  4.0104E-02 -8.5199E-03
  2.4235E+02  3.9991E-02 -8.5361E-03
  2.4329E+02  3.9886E-02 -8.5520E-03
  2.4424E+02  3.9790E-02 -8.5677E-03
  2.4518E+02  3.9699E-02 -8.5831E-03
  2.4612E+02  3.9614E-02 -8.5983E-03
  2.4707E+02  3.9534E-02 -8.6133E-03
  2.4801E+02  3.9456E-02 -8.6282E-03
  2.4895E+02  3.9378E-02 -8.6430E-03
  2.4990E+02  3.9301E-02 -8.6577E-03
  2.5084E+02  3.9222E-02 -8.6723E-03
  2.5178E+02  3.9136E-02 -8.6868E-03
  2.5272E+02  3.9044E-02 -8.7011E-03
  2.5367E+02  3.8945E-02 -8.7154E-03
  2.5461E+02  3.8838E-02 -8.7295E-03
  2.5555E+02  3.8722E-02 -8.7436E-03
  2.5650E+02  3.8601E-02 -8.7577E-03
  2.5744E+02  3.8474E-02 -8.7716E-03
  2.5838E+02  3.8342E-02 -8.7855E-03
  2.5933E+02  3.8202E-02 -8.7993E-03
  2.6027E+02  3.8056E-02 -8.8131E-03
  2.6121E+02  3.7906E-02 -8.8269E-03
  2.6215E+02  3.7757E-02 -8.8407E-03
  2.6310E+02  3.7611E-02 -8.8546E-03
  2.6404E+02  3.7466E-02 -8.8685E-03
  2.6498E+02  3.7319E-02 -8.8825E-03
  2.6593E+02  3.7169E-02 -8.8966E-03
  2.6687E+02  3.7016E-02 -8.9107E-03
  2.6781E+02  3.6864E-02 -8.9249E-03
  2.6876E+02  3.6715E-02 -8.9391E-03
  2.6970E+02  3.6570E-02 -8.9533E-03
  2.7064E+02  3.6424E-02 -8.9676E-03
  2.7158E+02  3.6278E-02 -8.9819E-03
  2.7253E+02  3.6132E-02 -8.9961E-03
  2.7347E+02  3.5988E-02 -9.0102E-03
  2.7441E+02  3.5848E-02 -9.0243E-03
  2.7536E+02  3.5714E-02 -9.0383E-03
  2.7630E+02  3.5584E-02 -9.0522E-03
  2.7724E+02  3.5460E-02 -9.0660E-03
  2.7819E+02  3.5342E-02 -9.0797E-03
  2.7913E+02  3.5230E-02 -9.0934E-03
  2.8007E+02  3.5126E-02 -9.1070E-03
  2.8101E+02  3.5029E-02 -9.1205E-03
  2.8196E+02  3.4940E-02 -9.1341E-03
  2.8290E+02  3.4858E-02 -9.1476E-03
  2.8384E+02  3.4785E-02 -9.1612E-03
  2.8479E+02  3.4720E-02 -9.1747E-03
  2.8573E+02  3.4663E-02 -9.1884E-03
  2.8667E+02  3.4613E-02 -9.2020E-03
  2.8761E+02  3.4569E-02 -9.2157E-03
  2.8856E+02  3.4530E-02 -9.2295E-03
  2.8950E+02  3.4496E-02 -9.2432E-03
  2.9044E+02  3.4466E-02 -9.2570E-03
  2.9139E+02  3.4437E-02 -9.2708E-03
  2.9233E+02  3.4409E-02 -9.2845E-03
  2.9327E+02  3.4383E-02 -9.2982E-03
  2.9422E+02  3.4357E-02 -9.3118E-03
  2.9516E+02  3.4330E-02 -9.3253E-03
  2.9610E+02  3.4302E-02 -9.3387E-03
  2.9704E+02  3.4270E-02 -9.3521E-03
  2.9799E+02  3.4237E-02 -9.3653E-03
  2.9893E+02  3.4202E-02 -9.3785E-03
  2.9987E+02  3.4168E-02 -9.3915E-03
  3.0082E+02  3.4136E-02 -9.4044E-03
  3.0176E+02  3.4103E-02 -9.4172E-03
  3.0270E+02  3.4071E-02 -9.4299E-03
