# CREATED BY GENE DIAGNOSTICS TOOL on Wed Dec 16 15:31:01 2020
# diag: gamdiag, run(s): 0025, time window: 0-1500(1543 steps), species: ions
# original data path: /marconi_scratch/userexternal/cmoreno0/GAM_HP_scan/surface/scanfiles0000/
# normalization: L_ref=1.65m
#
# xind= 0, x/a= 0.5, q= -2.1464562
# Fit:    0.047481956,64.666712,-6.9492445
# Analytic (Gao, Zhou/Yu): 0.078523524,0.36211323,4.1062285
#  t          Re[phi]     Im[phi]   
  9.5354E+01  4.9387E-02 -4.0309E-03
  9.6327E+01  4.9817E-02 -4.1045E-03
  9.7300E+01  5.0282E-02 -4.1703E-03
  9.8273E+01  5.0791E-02 -4.2273E-03
  9.9246E+01  5.1303E-02 -4.2769E-03
  1.0022E+02  5.1734E-02 -4.3164E-03
  1.0119E+02  5.2015E-02 -4.3460E-03
  1.0217E+02  5.2098E-02 -4.3635E-03
  1.0314E+02  5.1981E-02 -4.3691E-03
  1.0411E+02  5.1694E-02 -4.3631E-03
  1.0508E+02  5.1281E-02 -4.3487E-03
  1.0606E+02  5.0777E-02 -4.3274E-03
  1.0703E+02  5.0209E-02 -4.3030E-03
  1.0800E+02  4.9598E-02 -4.2768E-03
  1.0898E+02  4.8972E-02 -4.2544E-03
  1.0995E+02  4.8338E-02 -4.2351E-03
  1.1092E+02  4.7694E-02 -4.2195E-03
  1.1190E+02  4.7041E-02 -4.2049E-03
  1.1287E+02  4.6404E-02 -4.1905E-03
  1.1384E+02  4.5811E-02 -4.1761E-03
  1.1481E+02  4.5281E-02 -4.1604E-03
  1.1579E+02  4.4825E-02 -4.1454E-03
  1.1676E+02  4.4441E-02 -4.1303E-03
  1.1773E+02  4.4136E-02 -4.1184E-03
  1.1871E+02  4.3915E-02 -4.1112E-03
  1.1968E+02  4.3778E-02 -4.1105E-03
  1.2065E+02  4.3723E-02 -4.1161E-03
  1.2163E+02  4.3756E-02 -4.1274E-03
  1.2260E+02  4.3887E-02 -4.1428E-03
  1.2357E+02  4.4111E-02 -4.1615E-03
  1.2454E+02  4.4410E-02 -4.1832E-03
  1.2552E+02  4.4757E-02 -4.2080E-03
  1.2649E+02  4.5142E-02 -4.2365E-03
  1.2746E+02  4.5561E-02 -4.2681E-03
  1.2844E+02  4.6010E-02 -4.3030E-03
  1.2941E+02  4.6464E-02 -4.3411E-03
  1.3038E+02  4.6891E-02 -4.3815E-03
  1.3136E+02  4.7286E-02 -4.4242E-03
  1.3233E+02  4.7669E-02 -4.4682E-03
  1.3330E+02  4.8058E-02 -4.5136E-03
  1.3427E+02  4.8437E-02 -4.5602E-03
  1.3525E+02  4.8761E-02 -4.6075E-03
  1.3622E+02  4.9007E-02 -4.6553E-03
  1.3719E+02  4.9195E-02 -4.7027E-03
  1.3817E+02  4.9363E-02 -4.7489E-03
  1.3914E+02  4.9522E-02 -4.7931E-03
  1.4011E+02  4.9634E-02 -4.8347E-03
  1.4109E+02  4.9654E-02 -4.8739E-03
  1.4206E+02  4.9568E-02 -4.9104E-03
  1.4303E+02  4.9408E-02 -4.9443E-03
  1.4400E+02  4.9214E-02 -4.9754E-03
  1.4498E+02  4.8997E-02 -5.0032E-03
  1.4595E+02  4.8735E-02 -5.0277E-03
  1.4692E+02  4.8400E-02 -5.0488E-03
  1.4790E+02  4.7987E-02 -5.0664E-03
  1.4887E+02  4.7527E-02 -5.0810E-03
  1.4984E+02  4.7070E-02 -5.0934E-03
  1.5081E+02  4.6649E-02 -5.1041E-03
  1.5179E+02  4.6250E-02 -5.1135E-03
  1.5276E+02  4.5834E-02 -5.1217E-03
  1.5373E+02  4.5370E-02 -5.1287E-03
  1.5471E+02  4.4874E-02 -5.1348E-03
  1.5568E+02  4.4404E-02 -5.1404E-03
  1.5665E+02  4.4010E-02 -5.1465E-03
  1.5763E+02  4.3684E-02 -5.1539E-03
  1.5860E+02  4.3373E-02 -5.1631E-03
  1.5957E+02  4.3028E-02 -5.1743E-03
  1.6054E+02  4.2654E-02 -5.1873E-03
  1.6152E+02  4.2299E-02 -5.2021E-03
  1.6249E+02  4.2011E-02 -5.2187E-03
  1.6346E+02  4.1794E-02 -5.2375E-03
  1.6444E+02  4.1624E-02 -5.2588E-03
  1.6541E+02  4.1483E-02 -5.2831E-03
  1.6638E+02  4.1371E-02 -5.3106E-03
  1.6736E+02  4.1294E-02 -5.3413E-03
  1.6833E+02  4.1251E-02 -5.3751E-03
  1.6930E+02  4.1245E-02 -5.4117E-03
  1.7027E+02  4.1286E-02 -5.4505E-03
  1.7125E+02  4.1388E-02 -5.4912E-03
  1.7222E+02  4.1548E-02 -5.5335E-03
  1.7319E+02  4.1738E-02 -5.5772E-03
  1.7417E+02  4.1925E-02 -5.6222E-03
  1.7514E+02  4.2094E-02 -5.6681E-03
  1.7611E+02  4.2254E-02 -5.7144E-03
  1.7709E+02  4.2428E-02 -5.7606E-03
  1.7806E+02  4.2624E-02 -5.8062E-03
  1.7903E+02  4.2827E-02 -5.8508E-03
  1.8000E+02  4.3009E-02 -5.8941E-03
  1.8098E+02  4.3150E-02 -5.9359E-03
  1.8195E+02  4.3252E-02 -5.9758E-03
  1.8292E+02  4.3336E-02 -6.0139E-03
  1.8390E+02  4.3428E-02 -6.0499E-03
  1.8487E+02  4.3541E-02 -6.0839E-03
  1.8584E+02  4.3660E-02 -6.1159E-03
  1.8682E+02  4.3759E-02 -6.1460E-03
  1.8779E+02  4.3830E-02 -6.1742E-03
  1.8876E+02  4.3890E-02 -6.2004E-03
  1.8973E+02  4.3967E-02 -6.2246E-03
  1.9071E+02  4.4063E-02 -6.2469E-03
  1.9168E+02  4.4147E-02 -6.2674E-03
  1.9265E+02  4.4189E-02 -6.2860E-03
  1.9363E+02  4.4191E-02 -6.3027E-03
  1.9460E+02  4.4186E-02 -6.3177E-03
  1.9557E+02  4.4197E-02 -6.3311E-03
  1.9655E+02  4.4221E-02 -6.3429E-03
  1.9752E+02  4.4230E-02 -6.3533E-03
  1.9849E+02  4.4209E-02 -6.3624E-03
  1.9946E+02  4.4162E-02 -6.3704E-03
  2.0044E+02  4.4104E-02 -6.3776E-03
  2.0141E+02  4.4040E-02 -6.3843E-03
  2.0238E+02  4.3965E-02 -6.3906E-03
  2.0336E+02  4.3877E-02 -6.3969E-03
  2.0433E+02  4.3786E-02 -6.4032E-03
  2.0530E+02  4.3706E-02 -6.4098E-03
  2.0628E+02  4.3641E-02 -6.4170E-03
  2.0725E+02  4.3580E-02 -6.4252E-03
  2.0822E+02  4.3508E-02 -6.4344E-03
  2.0919E+02  4.3427E-02 -6.4448E-03
  2.1017E+02  4.3358E-02 -6.4563E-03
  2.1114E+02  4.3321E-02 -6.4690E-03
  2.1211E+02  4.3320E-02 -6.4829E-03
  2.1309E+02  4.3339E-02 -6.4980E-03
  2.1406E+02  4.3355E-02 -6.5143E-03
  2.1503E+02  4.3356E-02 -6.5318E-03
  2.1601E+02  4.3354E-02 -6.5505E-03
  2.1698E+02  4.3368E-02 -6.5703E-03
  2.1795E+02  4.3409E-02 -6.5910E-03
  2.1892E+02  4.3463E-02 -6.6126E-03
